"Sector","sum(Opt_Weights)"
"Technology",0.114303221903869
"Real Estate",0.104356210495903
"Big Blend",0.102023797260252
"Energy",0.099
"Crypto",0.0798692961262531
"Industrials",0.0465538987601054
"Materials",0.0394868669125636
"Emerging Markets",0.039
"Healthcare",0.039
"Small Blend",0.039
"Corporate",0.0366348397330568
"Gold",0.035
"Platinum",0.0312945825413916
"Telecomunication",0.0286042883153397
"Aerospace",0.0274204508935064
"Multifaced Conglomerate",0.0264435051796285
"Finance",0.0264403084443577
"Healtcare",0.0256045601656017
"Auto",0.02
"Financial",0.02
"Small Cap",0.02
